descripcion;establecimiento;categoria;medida;territorio;cantidad
Apartamentos turisticos;Apartamento;2 Llaves;Establecimientos;Granada;121
Apartamentos turisticos;Apartamento;2 Llaves;Establecimientos;Huelva;38
Apartamentos turisticos;Apartamento;2 Llaves;Establecimientos;Jaen;51
Apartamentos turisticos;Apartamento;2 Llaves;Establecimientos;Malaga;366
Apartamentos turisticos;Apartamento;2 Llaves;Establecimientos;Sevilla;139
Apartamentos turisticos;Apartamento;2 Llaves;Plazas;Almeria;5272
Apartamentos turisticos;Apartamento;2 Llaves;Plazas;Cadiz;3931
Apartamentos turisticos;Apartamento;2 Llaves;Plazas;Cordoba;1129
Apartamentos turisticos;Apartamento;2 Llaves;Plazas;Granada;3884
Apartamentos turisticos;Apartamento;2 Llaves;Plazas;Huelva;2977
Apartamentos turisticos;Apartamento;2 Llaves;Plazas;Jaen;1313
Apartamentos turisticos;Apartamento;2 Llaves;Plazas;Malaga;19363
Apartamentos turisticos;Apartamento;2 Llaves;Plazas;Sevilla;4181
Apartamentos turisticos;Apartamento;3 Llaves;Establecimientos;Almeria;3
Apartamentos turisticos;Apartamento;3 Llaves;Establecimientos;Cadiz;12
Apartamentos turisticos;Apartamento;3 Llaves;Establecimientos;Cordoba;5
Apartamentos turisticos;Apartamento;3 Llaves;Establecimientos;Granada;32
Apartamentos turisticos;Apartamento;3 Llaves;Establecimientos;Huelva;4
Apartamentos turisticos;Apartamento;3 Llaves;Establecimientos;Jaen;4
Apartamentos turisticos;Apartamento;3 Llaves;Establecimientos;Malaga;60
Apartamentos turisticos;Apartamento;3 Llaves;Establecimientos;Sevilla;17
Apartamentos turisticos;Apartamento;3 Llaves;Plazas;Almeria;2908
Apartamentos turisticos;Apartamento;3 Llaves;Plazas;Cadiz;633
Apartamentos turisticos;Apartamento;3 Llaves;Plazas;Cordoba;195
Apartamentos turisticos;Apartamento;3 Llaves;Plazas;Granada;1993
Apartamentos turisticos;Apartamento;3 Llaves;Plazas;Huelva;1732
Apartamentos turisticos;Apartamento;3 Llaves;Plazas;Jaen;91
Apartamentos turisticos;Apartamento;3 Llaves;Plazas;Malaga;11722
Apartamentos turisticos;Apartamento;3 Llaves;Plazas;Sevilla;2294
Apartamentos turisticos;Apartamento;4 Llaves;Establecimientos;Almeria;0
Apartamentos turisticos;Apartamento;4 Llaves;Establecimientos;Cadiz;1
Apartamentos turisticos;Apartamento;4 Llaves;Establecimientos;Cordoba;0
Apartamentos turisticos;Apartamento;4 Llaves;Establecimientos;Granada;3
Apartamentos turisticos;Apartamento;4 Llaves;Establecimientos;Huelva;1
Apartamentos turisticos;Apartamento;4 Llaves;Establecimientos;Jaen;0
Apartamentos turisticos;Apartamento;4 Llaves;Establecimientos;Malaga;3
Apartamentos turisticos;Apartamento;4 Llaves;Establecimientos;Sevilla;0
Apartamentos turisticos;Apartamento;4 Llaves;Plazas;Almeria;0
Apartamentos turisticos;Apartamento;4 Llaves;Plazas;Cadiz;150
Apartamentos turisticos;Apartamento;4 Llaves;Plazas;Cordoba;0
Apartamentos turisticos;Apartamento;4 Llaves;Plazas;Granada;132
Apartamentos turisticos;Apartamento;4 Llaves;Plazas;Huelva;428
Apartamentos turisticos;Apartamento;4 Llaves;Plazas;Jaen;0
Apartamentos turisticos;Apartamento;4 Llaves;Plazas;Malaga;2312
Apartamentos turisticos;Apartamento;4 Llaves;Plazas;Sevilla;0
Casas rurales y otros alojamientos;Casas Rurales;Na;Establecimientos;Almeria;196
Casas rurales y otros alojamientos;Casas Rurales;Na;Establecimientos;Cadiz;104
Casas rurales y otros alojamientos;Casas Rurales;Na;Establecimientos;Cordoba;265
Casas rurales y otros alojamientos;Casas Rurales;Na;Establecimientos;Granada;197
Casas rurales y otros alojamientos;Casas Rurales;Na;Establecimientos;Huelva;167
Casas rurales y otros alojamientos;Casas Rurales;Na;Establecimientos;Jaen;211
Casas rurales y otros alojamientos;Casas Rurales;Na;Establecimientos;Malaga;1834
Casas rurales y otros alojamientos;Casas Rurales;Na;Establecimientos;Sevilla;246
Casas rurales y otros alojamientos;Casas Rurales;Na;Plazas;Almeria;1689
Casas rurales y otros alojamientos;Casas Rurales;Na;Plazas;Cadiz;1095
Casas rurales y otros alojamientos;Casas Rurales;Na;Plazas;Cordoba;2808
Casas rurales y otros alojamientos;Casas Rurales;Na;Plazas;Granada;1943
Casas rurales y otros alojamientos;Casas Rurales;Na;Plazas;Huelva;1357
Casas rurales y otros alojamientos;Casas Rurales;Na;Plazas;Jaen;2100
Casas rurales y otros alojamientos;Casas Rurales;Na;Plazas;Malaga;12644
Casas rurales y otros alojamientos;Casas Rurales;Na;Plazas;Sevilla;2598
Casas rurales y otros alojamientos;Viviendas Turisticas de Alojamiento Rural;Na;Establecimientos;Almeria;758
Casas rurales y otros alojamientos;Viviendas Turisticas de Alojamiento Rural;Na;Establecimientos;Cadiz;3400
Casas rurales y otros alojamientos;Viviendas Turisticas de Alojamiento Rural;Na;Establecimientos;Cordoba;477
Casas rurales y otros alojamientos;Viviendas Turisticas de Alojamiento Rural;Na;Establecimientos;Granada;1817
Casas rurales y otros alojamientos;Viviendas Turisticas de Alojamiento Rural;Na;Establecimientos;Huelva;555
Casas rurales y otros alojamientos;Viviendas Turisticas de Alojamiento Rural;Na;Establecimientos;Jaen;825
Casas rurales y otros alojamientos;Viviendas Turisticas de Alojamiento Rural;Na;Establecimientos;Malaga;3386
Casas rurales y otros alojamientos;Viviendas Turisticas de Alojamiento Rural;Na;Establecimientos;Sevilla;443
Casas rurales y otros alojamientos;Viviendas Turisticas de Alojamiento Rural;Na;Plazas;Almeria;4379
Casas rurales y otros alojamientos;Viviendas Turisticas de Alojamiento Rural;Na;Plazas;Cadiz;22017
Casas rurales y otros alojamientos;Viviendas Turisticas de Alojamiento Rural;Na;Plazas;Cordoba;3689
Casas rurales y otros alojamientos;Viviendas Turisticas de Alojamiento Rural;Na;Plazas;Granada;11998
Casas rurales y otros alojamientos;Viviendas Turisticas de Alojamiento Rural;Na;Plazas;Huelva;3589
Casas rurales y otros alojamientos;Viviendas Turisticas de Alojamiento Rural;Na;Plazas;Jaen;5505
Casas rurales y otros alojamientos;Viviendas Turisticas de Alojamiento Rural;Na;Plazas;Malaga;22768
Casas rurales y otros alojamientos;Viviendas Turisticas de Alojamiento Rural;Na;Plazas;Sevilla;3399
Casas rurales y otros alojamientos;Albergues;Na;Establecimientos;Almeria;5
Casas rurales y otros alojamientos;Albergues;Na;Establecimientos;Cadiz;10
Casas rurales y otros alojamientos;Albergues;Na;Establecimientos;Cordoba;3
Casas rurales y otros alojamientos;Albergues;Na;Establecimientos;Granada;25
Casas rurales y otros alojamientos;Albergues;Na;Establecimientos;Huelva;7
Casas rurales y otros alojamientos;Albergues;Na;Establecimientos;Jaen;9
Casas rurales y otros alojamientos;Albergues;Na;Establecimientos;Malaga;10
Casas rurales y otros alojamientos;Albergues;Na;Establecimientos;Sevilla;10
Casas rurales y otros alojamientos;Albergues;Na;Plazas;Almeria;522
Casas rurales y otros alojamientos;Albergues;Na;Plazas;Cadiz;1134
Casas rurales y otros alojamientos;Albergues;Na;Plazas;Cordoba;372
Casas rurales y otros alojamientos;Albergues;Na;Plazas;Granada;1985
Casas rurales y otros alojamientos;Albergues;Na;Plazas;Huelva;757
Casas rurales y otros alojamientos;Albergues;Na;Plazas;Jaen;554
Casas rurales y otros alojamientos;Albergues;Na;Plazas;Malaga;1498
Casas rurales y otros alojamientos;Albergues;Na;Plazas;Sevilla;819
Casas rurales y otros alojamientos;Viviendas con fines turisticos;Na;Establecimientos;Almeria;7974
Casas rurales y otros alojamientos;Viviendas con fines turisticos;Na;Establecimientos;Cadiz;14076
Casas rurales y otros alojamientos;Viviendas con fines turisticos;Na;Establecimientos;Cordoba;2034
Casas rurales y otros alojamientos;Viviendas con fines turisticos;Na;Establecimientos;Granada;6105
Casas rurales y otros alojamientos;Viviendas con fines turisticos;Na;Establecimientos;Huelva;2349
Casas rurales y otros alojamientos;Viviendas con fines turisticos;Na;Establecimientos;Jaen;457
Casas rurales y otros alojamientos;Viviendas con fines turisticos;Na;Establecimientos;Malaga;53820
Casas rurales y otros alojamientos;Viviendas con fines turisticos;Na;Establecimientos;Sevilla;8432
